project_id,team_size_k,ilp_status,ilp_AE,ilp_AT,ilp_AC,ilp_time_s,ilp_mip_gap_pct,ga_best_AE,ga_best_AT,ga_best_AC,ga_best_seed,ga_total_time_30_runs_s,ga_mean_time_per_run_s,ga_n_runs,AE_difference_ILP_minus_GA,gap_pct,winner_quality
P3,10,Optimal,0.789947,0.81746,0.784444,2640.64,0.0,0.78994712,0.8174605,0.78444444,11,296.001099,9.866703,30,-1.2e-07,0.0,TIE
P4,10,Optimal,0.796031,0.809524,0.793333,68.13,0.0,0.79603178,0.809524,0.79333333,14,278.129594,9.270986,30,-7.8e-07,0.0,TIE
P5,10,Optimal,0.801322,0.84127,0.793333,71.12,0.0,0.80132278,0.84127,0.79333333,3,374.495775,12.483192,30,-7.8e-07,0.0,TIE
P6,10,Optimal,0.789947,0.817461,0.784444,378.15,0.0,0.78994712,0.8174605,0.78444444,7,315.34422,10.511474,30,-1.2e-07,0.0,TIE
P7,10,Optimal,0.803968,0.857143,0.793333,2438.96,0.0,0.80297621,0.85119061,0.79333333,17,711.905613,23.730187,30,0.00099179,0.123362,ILP
P8,10,Optimal,0.718783,0.746032,0.713333,3416.47,0.0,0.71878311,0.746032,0.71333333,24,221.16121,7.37204,30,-1.1e-07,0.0,TIE
P9,10,Optimal,0.803968,0.857143,0.793333,2230.59,0.0,0.80396828,0.857143,0.79333333,3,198.033934,6.601131,30,-2.8e-07,0.0,TIE
P1,12,Optimal,0.742063,0.785714,0.733333,88.58,0.0072,0.74206353,0.7857145,0.73333333,7,236.45018,7.881673,30,-5.3e-07,0.0,TIE
P10,12,Optimal,0.783069,0.865079,0.766667,802.73,0.0,0.78306881,0.8650795,0.76666667,4,237.18085,7.906028,30,1.9e-07,2.4e-05,TIE
P11,12,Optimal,0.760101,0.833333,0.745455,105.87,0.0,0.74242427,0.8333335,0.72424242,1,227.466048,7.582202,30,0.01767673,2.325576,ILP
P12,12,Optimal,0.762626,0.833333,0.748485,4041.9,0.0,0.75757579,0.8333335,0.74242424,24,665.594255,22.186475,30,0.00505021,0.662213,ILP
P2,12,Feasible (decomp: A=Feasible (time limit); B=Optimal),0.708874,0.738096,0.70303,7071.78,1.0609,0.70634925,0.7380955,0.7,2,339.174398,11.305813,30,0.00252475,0.356163,ILP
P3,12,Optimal,0.759019,0.857143,0.739394,6006.63,0.0,0.75901878,0.857143,0.73939394,18,225.260837,7.508695,30,2.2e-07,2.9e-05,TIE
P4,12,Optimal,0.776696,0.857143,0.760606,93.25,0.0,0.77669555,0.857143,0.76060606,1,222.426022,7.414201,30,4.5e-07,5.8e-05,TIE
P5,12,Optimal,0.779101,0.84127,0.766667,59.98,0.0,0.77910056,0.84127,0.76666667,4,229.35492,7.645164,30,4.4e-07,5.6e-05,TIE
P6,12,Optimal,0.747354,0.817461,0.733333,1703.45,0.0,0.74735453,0.8174605,0.73333333,4,262.161208,8.738707,30,-5.3e-07,0.0,TIE
P7,12,Optimal,0.780754,0.851191,0.766667,1973.67,0.0,0.78075399,0.85119061,0.76666667,8,250.832166,8.361072,30,1e-08,1e-06,TIE
P8,12,Optimal,0.710197,0.746032,0.70303,4500.52,0.0,0.707672,0.746032,0.7,22,261.141355,8.704712,30,0.002525,0.355535,ILP
P9,12,Optimal,0.779101,0.84127,0.766667,2456.11,0.0,0.77910056,0.84127,0.76666667,7,230.022928,7.667431,30,4.4e-07,5.6e-05,TIE
