projeto,modo,status,AT,AC,AE,tempo_s,must_dom_ok,must_eco_ok,must_ling_ok,metodo,seed,fitness_final,AE_raw_surrogate,all_must_ok,best_generation,gens_executed,stop_reason,dom_score,eco_score,ling_score,population_size,generations,elitism_count,mutation_rate,crossover_rate,stable_gens,crossover_operator,team_size_testado
P2,AE_FULL_SURROGATE,OK,0.8333335,0.9,0.8444445833333334,7.61076,True,True,True,GA_CALIBRADO_CCC,3,0.8444445833333334,0.8444445833333334,True,23,43,stable_gens_no_improve,0.857143,0.6428575,0.857143,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.6746035000000001,0.7666666666666666,0.6899473611111112,12.427587,True,True,True,GA_CALIBRADO_CCC,4,0.6899473611111112,0.6899473611111112,True,66,86,stable_gens_no_improve,0.857143,1.0,0.5000005000000001,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8174605,0.8333333333333333,0.8201059722222221,6.434988,True,True,True,GA_CALIBRADO_CCC,5,0.8201059722222221,0.8201059722222221,True,21,41,stable_gens_no_improve,0.857143,0.857143,0.7857145,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8333335,0.7333333333333334,0.7500000277777779,7.757726,True,True,True,GA_CALIBRADO_CCC,6,0.7500000277777779,0.7500000277777779,True,29,49,stable_gens_no_improve,0.857143,1.0,0.7857145,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.7380955,0.7333333333333333,0.7341270277777777,8.523161,True,True,True,GA_CALIBRADO_CCC,7,0.7341270277777777,0.7341270277777777,True,30,50,stable_gens_no_improve,0.857143,0.857143,0.6428575,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8333335,0.9,0.8444445833333334,7.989912,True,True,True,GA_CALIBRADO_CCC,8,0.8444445833333334,0.8444445833333334,True,33,53,stable_gens_no_improve,0.857143,0.6428575,0.857143,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8174605,0.8333333333333333,0.8201059722222221,8.671674,True,True,True,GA_CALIBRADO_CCC,9,0.8201059722222221,0.8201059722222221,True,35,55,stable_gens_no_improve,0.857143,0.857143,0.7857145,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8333335,0.9,0.8444445833333334,7.867461,True,True,True,GA_CALIBRADO_CCC,10,0.8444445833333334,0.8444445833333334,True,26,46,stable_gens_no_improve,0.857143,0.6428575,0.857143,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8432540555555555,0.7333333333333334,0.7516534537037037,4.834962,True,True,True,GA_CALIBRADO_CCC,11,0.7516534537037037,0.7516534537037037,True,14,34,stable_gens_no_improve,0.857143,1.0,0.8035715,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.7380955,0.6333333333333333,0.6507936944444445,8.976307,True,True,True,GA_CALIBRADO_CCC,12,0.6507936944444445,0.6507936944444445,True,50,70,stable_gens_no_improve,0.857143,0.857143,0.6428575,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8333335,0.7333333333333333,0.7500000277777777,7.055258,True,True,True,GA_CALIBRADO_CCC,13,0.7500000277777777,0.7500000277777777,True,18,38,stable_gens_no_improve,0.857143,1.0,0.7857145,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8333335,0.9,0.8444445833333334,8.373975,True,True,True,GA_CALIBRADO_CCC,14,0.8444445833333334,0.8444445833333334,True,31,51,stable_gens_no_improve,0.857143,0.6428575,0.857143,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.8333335,0.9,0.8444445833333334,9.572099,True,True,True,GA_CALIBRADO_CCC,15,0.8444445833333334,0.8444445833333334,True,34,54,stable_gens_no_improve,0.857143,0.6428575,0.857143,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.7777780000000001,0.8333333333333334,0.7870372222222223,6.889676,True,True,True,GA_CALIBRADO_CCC,16,0.7870372222222223,0.7870372222222223,True,29,49,stable_gens_no_improve,0.857143,0.857143,0.714286,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.857143,0.7333333333333334,0.7539682777777778,30.517846,True,True,True,GA_CALIBRADO_CCC,17,0.7539682777777778,0.7539682777777778,True,47,67,stable_gens_no_improve,0.857143,0.857143,0.857143,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.714286,0.7333333333333333,0.7174605555555554,9.829704,True,True,True,GA_CALIBRADO_CCC,18,0.7174605555555554,0.7174605555555554,True,24,44,stable_gens_no_improve,0.857143,0.6428575,0.6428575,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.793651,0.7666666666666666,0.7711640555555554,48.396384,True,True,True,GA_CALIBRADO_CCC,19,0.7711640555555554,0.7711640555555554,True,40,60,stable_gens_no_improve,0.857143,1.0,0.714286,150,200,3,0.005,1.0,20,ccc,4
P2,AE_FULL_SURROGATE,OK,0.793651,0.7666666666666666,0.7711640555555554,58.35529,True,True,True,GA_CALIBRADO_CCC,20,0.7711640555555554,0.7711640555555554,True,36,56,stable_gens_no_improve,0.857143,1.0,0.714286,150,200,3,0.005,1.0,20,ccc,4
