pool,candidate_pool_size,project,team_size_k,knowledge_version,milp_status,milp_certified,milp_AE,ga_best_AE,signed_AE_difference,absolute_AE_difference,signed_relative_difference_pct,comparison,ga_runs,ga_valid_runs,ga_AE_mean,ga_AE_median,ga_AE_std,milp_time_s,ga_mean_time_s,ga_total_time_s,runtime_review_required
B0,510,P4,7,V2,Optimal,1,0.716728,0.71041921,0.00630879,0.00630879,0.8802209485327767298054492081,MILP_HIGHER,30,30,0.69268417,0.69785307,0.01232765,45.67,13.089421,392.682619,0
B0,510,P5,7,V2,Optimal,1,0.704315,0.70136345,0.00295155,0.00295155,0.4190667528023682585206903161,MILP_HIGHER,30,30,0.67952675,0.68101343,0.01168555,77.06,5.261413,157.842401,0
B0,510,P6,7,V2,Optimal,1,0.688543,0.68732194,0.00122106,0.00122106,0.1773396868459921893040812266,MILP_HIGHER,30,30,0.65178063,0.65730566,0.02829045,291.71,5.649111,169.473331,0
B0,510,P7,7,V2,Optimal,1,0.724359,0.72435897,3E-8,3E-8,0.000004141592773748928362869792465,TIE,30,30,0.71640212,0.72039072,0.01025597,321.47,13.416846,402.505366,0
B0,510,P8,7,V2,Optimal,1,0.720137,0.72013635,6.5E-7,6.5E-7,0.00009026060319078175402735868314,TIE,30,30,0.68035206,0.66865079,0.02780515,154.29,16.681104,500.433131,0
B0,510,P9,7,V2,Optimal,1,0.724257,0.72425722,-2.2E-7,2.2E-7,-0.00003037595770562107097342517918,TIE,30,30,0.71076686,0.71807591,0.01260568,263.21,14.036742,421.102248,0
B0,510,P10,7,V2,Optimal,1,0.726191,0.72619048,5.2E-7,5.2E-7,0.00007160650572645488583582005285,TIE,30,30,0.71772487,0.72222222,0.01211166,312.4,13.635204,409.056127,0
B0,510,P11,7,V2,Optimal,1,0.716321,0.69464794,0.02167306,0.02167306,3.025607234745316694610377191,MILP_HIGHER,30,30,0.67546296,0.67961437,0.0130329,54.4,15.293193,458.795802,0
B0,510,P12,7,V2,Optimal,1,0.719882,0.71988197,3E-8,3E-8,0.000004167349648970247901739451743,TIE,30,30,0.67875119,0.67646011,0.02678727,282.49,14.059871,421.796122,0
B0,510,P1,8,V2,Optimal,1,0.688314,0.688314,0.000000,0.000000,0,TIE,30,30,0.66344119,0.66544567,0.01950419,31.32,20.175426,605.262783,0
B0,510,P2,8,V2,Optimal,1,0.690706,0.69070513,8.7E-7,8.7E-7,0.0001259580776770434888360604946,TIE,30,30,0.65624406,0.6529304,0.01927934,315.04,15.89045,476.713494,0
B0,510,P3,8,V2,Optimal,1,0.689891,0.68795788,0.00193312,0.00193312,0.2802065833588204513466620089,MILP_HIGHER,30,30,0.66570937,0.66915954,0.01952015,777.3,15.637611,469.128331,0
B0,510,P4,8,V2,Optimal,1,0.703474,0.70347477,-7.7E-7,7.7E-7,-0.0001094567816294560993014667209,TIE,30,30,0.68647148,0.6889245,0.01292617,114.59,16.677226,500.31678,0
B0,510,P5,8,V2,Optimal,1,0.700931,0.70093101,-1E-8,1E-8,-0.000001426673952214982644511371305,TIE,30,30,0.67993262,0.67977971,0.01829853,104.61,18.217156,546.51469,0
B0,510,P6,8,V2,Optimal,1,0.690273,0.69027269,3.1E-7,3.1E-7,0.00004490976758470923822893261072,TIE,30,30,0.6580196,0.65688594,0.02340938,370.96,18.701749,561.052481,0
B0,510,P7,8,V2,Optimal,1,0.718407,0.71840659,4.1E-7,4.1E-7,0.00005707071339783715915908391761,TIE,30,30,0.70629579,0.71245421,0.01231043,534.83,15.388238,461.647145,0
B0,510,P8,8,V2,Optimal,1,0.703272,0.68327737,0.01999463,0.01999463,2.843086316531868181869888180,MILP_HIGHER,30,30,0.656473,0.6547619,0.01732025,488.48,16.653287,499.598623,0
B0,510,P9,8,V2,Optimal,1,0.720289,0.72028897,3E-8,3E-8,0.000004164994883997950822517073008,TIE,30,30,0.70488316,0.70716321,0.01283218,455.47,17.559795,526.793865,0
B0,510,P10,8,V2,Feasible (decomp: A=Feasible (time limit); B=Optimal),0,0.720238,0.7202381,-1E-7,1E-7,-0.00001388429935660156781508334745,TIE,30,30,0.70555556,0.71279762,0.0164802,14390.14,14.32078,429.623387,1
B0,510,P11,8,V2,Optimal,1,0.701593,0.69266382,0.00892918,0.00892918,1.272700839375535388751028018,MILP_HIGHER,30,30,0.67066884,0.67415802,0.01650927,84.79,17.221598,516.647935,0
B0,510,P12,8,V2,Optimal,1,0.711946,0.71130952,0.00063648,0.00063648,0.08940003876698513651316251513,MILP_HIGHER,30,30,0.68192918,0.68293396,0.0178568,395.87,18.359752,550.792564,0
B0,510,P1,9,V2,Optimal,1,0.683023,0.683023,0.000000,0.000000,0,TIE,30,30,0.65772622,0.65315934,0.01831542,77.07,21.201577,636.047306,0
B0,510,P2,9,V2,Optimal,1,0.66715,0.66714998,2E-8,2E-8,0.000002997826575732593869444652627,TIE,30,30,0.64690001,0.64863146,0.0116967,1260.7,20.139626,604.188767,0
B0,510,P3,9,V2,Optimal,1,0.686609,0.68432031,0.00228869,0.00228869,0.3333323623780055315325024869,MILP_HIGHER,30,30,0.66965727,0.67506105,0.01469449,1395.38,18.731858,561.955745,0
B0,510,P4,9,V2,Optimal,1,0.698184,0.69818376,2.4E-7,2.4E-7,0.00003437489257846069231033653020,TIE,30,30,0.67982211,0.68199278,0.01672692,88.06,17.461683,523.850481,0
B0,510,P5,9,V2,Optimal,1,0.697955,0.69795482,1.8E-7,1.8E-7,0.00002578962827116361370002364049,TIE,30,30,0.67940295,0.67737586,0.01321092,87.37,18.150987,544.529618,0
B0,510,P6,9,V2,Optimal,1,0.691595,0.68928063,0.00231437,0.00231437,0.3346423846326245851979843695,MILP_HIGHER,30,30,0.65903626,0.66095594,0.02019986,319.22,20.887586,626.62757,0
B0,510,P7,9,V2,Optimal,1,0.711132,0.71113146,5.4E-7,5.4E-7,0.00007593526940146133207337034475,TIE,30,30,0.70138974,0.70650183,0.01434057,766.01,18.027365,540.82094,0
B0,510,P8,9,V2,Optimal,1,0.676155,0.67615486,1.4E-7,1.4E-7,0.00002070531165191413211467784753,TIE,30,30,0.65574718,0.65046296,0.0122541,1215.75,18.414381,552.431438,0
B0,510,P9,9,V2,Optimal,1,0.710648,0.71064815,-1.5E-7,1.5E-7,-0.00002110749625693733043644673594,TIE,30,30,0.69737909,0.70023148,0.01310233,684.47,17.55911,526.773308,0
B0,510,P10,9,V2,Optimal,1,0.712963,0.71296296,4E-8,4E-8,0.000005610389318940814600477163612,TIE,30,30,0.70169753,0.70833333,0.01425361,2380.05,16.168861,485.065823,0
