project_id,candidate_id,teacher_score,surrogate_score,absolute_error
P2,P2_T131,0.312888,0.289038,0.023850
P2,P2_T132,0.257910,0.231234,0.026676
P2,P2_T133,0.293378,0.303191,0.009813
P2,P2_T134,0.329122,0.409722,0.080600
P2,P2_T135,0.136166,0.246296,0.110130
P2,P2_T136,0.141478,0.251852,0.110374
P2,P2_T137,0.267665,0.224570,0.043095
P2,P2_T138,0.136166,0.246296,0.110130
P2,P2_T139,0.141478,0.251852,0.110374
P2,P2_T140,0.257910,0.225860,0.032050
P2,P2_T141,0.264114,0.276058,0.011944
P2,P2_T142,0.321654,0.355324,0.033670
P2,P2_T143,0.319255,0.378142,0.058887
P2,P2_T144,0.319255,0.333929,0.014674
P2,P2_T145,0.133294,0.246296,0.113002
P2,P2_T146,0.254359,0.244279,0.010080
P2,P2_T147,0.293378,0.288724,0.004654
P2,P2_T148,0.122672,0.235185,0.112513
P2,P2_T149,0.315433,0.330026,0.014593
P2,P2_T150,0.348904,0.376653,0.027749
P2,P2_T151,0.374368,0.378638,0.004270
P2,P2_T152,0.329122,0.394874,0.065752
P2,P2_T153,0.267665,0.230771,0.036894
P2,P2_T154,0.303133,0.314302,0.011169
P2,P2_T155,0.254359,0.258747,0.004388
P2,P2_T156,0.287174,0.297636,0.010462
P2,P2_T157,0.136166,0.246296,0.110130
P2,P2_T158,0.254359,0.215344,0.039015
P2,P2_T159,0.277419,0.235681,0.041738
P2,P2_T160,0.254359,0.281482,0.027123
P2,P2_T161,0.122672,0.235185,0.112513
P2,P2_T162,0.380898,0.438823,0.057925
P2,P2_T163,0.285234,0.228935,0.056299
P2,P2_T164,0.264114,0.303340,0.039226
P2,P2_T165,0.264114,0.263658,0.000456
P2,P2_T166,0.326095,0.372851,0.046756
P2,P2_T167,0.136166,0.246296,0.110130
P2,P2_T168,0.127983,0.240741,0.112758
P2,P2_T169,0.163156,0.268519,0.105363
P2,P2_T170,0.321654,0.347388,0.025734
P2,P2_T171,0.127983,0.240741,0.112758
P2,P2_T172,0.333980,0.385549,0.051569
P2,P2_T173,0.283624,0.255705,0.027919
P2,P2_T174,0.136166,0.246296,0.110130
P2,P2_T175,0.122672,0.235185,0.112513
P2,P2_T176,0.264114,0.231416,0.032698
P2,P2_T177,0.127983,0.240741,0.112758
P2,P2_T178,0.381079,0.404183,0.023104
P2,P2_T179,0.122672,0.235185,0.112513
P2,P2_T180,0.163156,0.268519,0.105363
P2,P2_T181,0.319255,0.378142,0.058887
P2,P2_T182,0.163156,0.268519,0.105363
P2,P2_T183,0.265011,0.242345,0.022666
P2,P2_T184,0.348904,0.393519,0.044615
P2,P2_T185,0.264114,0.236789,0.027325
P2,P2_T186,0.149661,0.257407,0.107746
P2,P2_T187,0.254359,0.244279,0.010080
P2,P2_T188,0.267665,0.245238,0.022427
P2,P2_T189,0.136166,0.246296,0.110130
P2,P2_T190,0.267665,0.275414,0.007749
P2,P2_T191,0.304531,0.315559,0.011028
P2,P2_T192,0.136166,0.246296,0.110130
P2,P2_T193,0.283624,0.232970,0.050654
P2,P2_T194,0.287174,0.264567,0.022607
P2,P2_T195,0.283624,0.292080,0.008456
P2,P2_T196,0.122672,0.235185,0.112513
P2,P2_T197,0.122672,0.235185,0.112513
