projeto,team_size_testado,metodo,modo,seed,status,AT,AC,AE,fitness_final,AE_raw_surrogate,tempo_s,must_dom_ok,must_eco_ok,must_ling_ok,all_must_ok,dom_score,eco_score,ling_score,pc_score,pc_label,best_generation,gens_executed,stop_reason,population_size,generations,elitism_count,mutation_rate,crossover_rate,stable_gens,crossover_operator
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,6,OK,0.8273810555555555,0.7333333333333334,0.7490079537037038,0.7490079537037038,0.7490079537037038,10.363591,True,True,True,True,0.857143,0.857143,0.8035715,0.7333333333333334,H,35,55,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,7,OK,0.6190479999999999,0.6666666666666666,0.6269844444444443,0.6269844444444443,0.6269844444444443,10.095395,True,True,True,True,0.857143,0.857143,0.428572,0.7000000000000001,H,35,55,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,8,OK,0.8174605,0.8333333333333333,0.8201059722222221,0.8201059722222221,0.8201059722222221,12.076268,True,True,True,True,0.857143,0.857143,0.7857145,0.8333333333333333,VH,45,65,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,9,OK,0.7380955,0.6333333333333333,0.6507936944444445,0.6507936944444445,0.6507936944444445,4.128315,True,True,True,True,0.857143,0.857143,0.6428575,0.7333333333333336,H,40,60,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,10,OK,0.8333335,0.9,0.8444445833333334,0.8444445833333334,0.8444445833333334,4.016351,True,True,True,True,0.857143,0.6428575,0.857143,0.9,VH,47,67,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,11,OK,0.6190479999999999,0.6333333333333333,0.6214288888888888,0.6214288888888888,0.6214288888888888,2.919474,True,True,True,True,0.857143,0.857143,0.428572,0.6,M,28,48,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,12,OK,0.7380955,0.7333333333333334,0.7341270277777778,0.7341270277777778,0.7341270277777778,4.22845,True,True,True,True,0.857143,0.857143,0.6428575,0.7333333333333334,H,47,67,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,13,OK,0.793651,0.7333333333333333,0.7433862777777778,0.7433862777777778,0.7433862777777778,4.103962,True,True,True,True,0.857143,1.0,0.714286,0.7666666666666666,H,46,66,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,14,OK,0.857143,0.7333333333333334,0.7539682777777778,0.7539682777777778,0.7539682777777778,6.194358,True,True,True,True,0.857143,0.857143,0.857143,0.7333333333333334,H,84,104,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,15,OK,0.8333335,0.7,0.7222222500000001,0.7222222500000001,0.7222222500000001,5.594987,True,True,True,True,0.857143,1.0,0.7857145,0.7666666666666666,H,43,63,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,16,OK,0.7380955,0.6666666666666666,0.6785714722222221,0.6785714722222221,0.6785714722222221,6.56009,True,True,True,True,0.857143,0.857143,0.6428575,0.7000000000000001,H,35,55,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,17,OK,0.7380955,0.8333333333333334,0.7539684722222222,0.7539684722222222,0.7539684722222222,5.361771,True,True,True,True,0.857143,0.857143,0.6428575,0.8666666666666668,VH,65,85,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,18,OK,0.8273810555555555,0.6333333333333333,0.6656746203703704,0.6656746203703704,0.6656746203703704,2.45142,True,True,True,True,0.857143,0.857143,0.8035715,0.7000000000000001,H,17,37,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,19,OK,0.857143,0.7,0.7261905,0.7261905,0.7261905,4.427832,True,True,True,True,0.857143,0.857143,0.857143,0.7333333333333336,H,46,66,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,20,OK,0.7380955,0.7,0.70634925,0.70634925,0.70634925,3.526262,True,True,True,True,0.857143,0.857143,0.6428575,0.7000000000000001,H,33,53,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,21,OK,0.857143,0.7333333333333334,0.7539682777777778,0.7539682777777778,0.7539682777777778,2.91951,True,True,True,True,0.857143,0.857143,0.857143,0.7333333333333334,H,27,47,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,22,OK,0.6587305,0.7333333333333334,0.6711643055555555,0.6711643055555555,0.6711643055555555,3.083659,True,True,True,True,0.857143,0.857143,0.5000005000000001,0.7000000000000001,H,29,49,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,23,OK,0.857143,0.7333333333333334,0.7539682777777778,0.7539682777777778,0.7539682777777778,3.213451,True,True,True,True,0.857143,0.857143,0.857143,0.7333333333333334,H,33,53,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,24,OK,0.8333335,0.9,0.8444445833333334,0.8444445833333334,0.8444445833333334,2.287755,True,True,True,True,0.857143,0.6428575,0.857143,0.9,VH,16,36,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,25,OK,0.857143,0.7333333333333334,0.7539682777777778,0.7539682777777778,0.7539682777777778,2.682217,True,True,True,True,0.857143,0.857143,0.857143,0.7333333333333334,H,24,44,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,26,OK,0.7242065555555555,0.7666666666666666,0.7312832407407406,0.7312832407407406,0.7312832407407406,2.224153,True,True,True,True,0.857143,1.0,0.589286,0.8,VH,16,36,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,27,OK,0.7380955,0.6333333333333333,0.6507936944444445,0.6507936944444445,0.6507936944444445,2.522751,True,True,True,True,0.857143,0.857143,0.6428575,0.6,M,20,40,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,28,OK,0.8333335,0.7333333333333333,0.7500000277777777,0.7500000277777777,0.7500000277777777,3.893477,True,True,True,True,0.857143,1.0,0.7857145,0.7666666666666666,H,45,65,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,29,OK,0.857143,0.7333333333333334,0.7539682777777778,0.7539682777777778,0.7539682777777778,4.75101,True,True,True,True,0.857143,0.857143,0.857143,0.7333333333333334,H,57,77,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P2,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,30,OK,0.7083335555555555,0.7333333333333334,0.7125001851851852,0.7125001851851852,0.7125001851851852,3.19888,True,True,True,True,0.857143,0.857143,0.589286,0.7333333333333334,H,33,53,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,1,OK,0.89418,0.6333333333333333,0.6768077777777778,0.6768077777777778,0.6768077777777778,2.995563,True,True,True,True,0.857143,0.47619100000000003,1.0,0.7333333333333336,H,34,54,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
P3,4,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,2,OK,0.677249,0.5666666666666667,0.5850970555555555,0.5850970555555555,0.5850970555555555,2.248192,True,True,True,True,0.6428575,0.952381,0.6428575,0.5666666666666667,M,19,39,stable_gens_no_improve,150,200,3,0.005,1.0,20,ccc
